"Weapon","Picks","Rounds Played","Pick Percentage"
"Vandal",4308,8430,"51.10"
"Sheriff",849,8430,"10.07"
"Phantom",697,8430,"8.27"
"Classic",682,8430,"8.09"
"Ghost",557,8430,"6.61"
"Bulldog",381,8430,"4.52"
"Guardian",239,8430,"2.84"
"Operator",186,8430,"2.21"
"Stinger",122,8430,"1.45"
"Spectre",120,8430,"1.42"
"Outlaw",95,8430,"1.13"
"Bucky",50,8430,"0.59"
"Odin",48,8430,"0.57"
"Judge",37,8430,"0.44"
"Frenzy",24,8430,"0.28"
"Marshal",20,8430,"0.24"
"Shorty",9,8430,"0.11"
"Ares",6,8430,"0.07"
