"Weapon","Picks","Rounds Played","Pick Percentage"
"Vandal",3834,9850,"38.92"
"Phantom",1750,9850,"17.77"
"Sheriff",937,9850,"9.51"
"Classic",858,9850,"8.71"
"Ghost",648,9850,"6.58"
"Guardian",442,9850,"4.49"
"Bulldog",331,9850,"3.36"
"Operator",309,9850,"3.14"
"Outlaw",194,9850,"1.97"
"Stinger",140,9850,"1.42"
"Spectre",139,9850,"1.41"
"Judge",98,9850,"0.99"
"Bucky",70,9850,"0.71"
"Odin",39,9850,"0.40"
"Marshal",26,9850,"0.26"
"Frenzy",24,9850,"0.24"
"Shorty",8,9850,"0.08"
